DERL1;C100;le;1;1;19;0;3;0;Too short time between day 0 and 1;1
DERL1;C100;le;2;1;19;1;4;0;Too short time between day 0 and 1;1
DERL1;R100;le;1;1;20;0;1;0;Too short time between day 0 and 1;1
DERL1;R100;le;2;1;23;0;6;0;Too short time between day 0 and 1;1
DERL1;H100;le;1;1;21;0;8;0;Too short time between day 0 and 1;1
DERL1;H100;le;2;1;26;0;7;0;Too short time between day 0 and 1;1
DERL1;TA100;le;1;1;20;1;12;0;Too short time between day 0 and 1;1
DERL1;TA100;le;2;1;19;2;8;0;Too short time between day 0 and 1;1
DERL1;PCA100;le;1;1;20;3;18;0;Too short time between day 0 and 1;1
DERL1;PCA100;le;2;1;27;0;19;0;Too short time between day 0 and 1;1
DERL1;SC1;le;1;1;26;4;24;0;Too short time between day 0 and 1;1
DERL1;SC1;le;2;1;21;1;17;0;Too short time between day 0 and 1;1
DERL1;CA10;le;1;1;21;8;21;0;Too short time between day 0 and 1;1
DERL1;CA10;le;2;1;24;7;15;0;Too short time between day 0 and 1;1
DERL1;PA10;le;1;1;27;3;19;0;Too short time between day 0 and 1;1
DERL1;PA10;le;2;1;18;2;14;0;Too short time between day 0 and 1;1
DERL1;FA10;le;1;1;26;4;23;0;Too short time between day 0 and 1;1
DERL1;FA10;le;2;1;33;6;31;0;Too short time between day 0 and 1;1
DERL1;CTRL;le;1;1;23;4;19;0;Too short time between day 0 and 1;1
DERL1;CTRL;le;2;1;30;4;23;0;Too short time between day 0 and 1;1
DERL2;C100;le;1;1;36;0;0;0;;2
DERL2;C100;le;2;1;33;1;4;0;;2
DERL2;R100;le;1;1;22;0;3;0;;2
DERL2;R100;le;2;1;30;0;1;0;;2
DERL2;H100;le;1;1;26;0;6;0;;2
DERL2;H100;le;2;1;19;2;7;0;;2
DERL2;TA100;le;1;1;21;6;13;0;;2
DERL2;TA100;le;2;1;30;0;0;0;;2
DERL2;PCA100;le;1;1;22;11;22;0;;2
DERL2;PCA100;le;2;1;24;8;18;0;;2
DERL2;SC1;le;1;1;36;21;34;0;;2
DERL2;SC1;le;2;1;21;7;21;0;;2
DERL2;CA10;le;1;1;29;12;27;0;;2
DERL2;CA10;le;2;1;18;7;15;0;;2
DERL2;PA10;le;1;1;43;16;35;0;;2
DERL2;PA10;le;2;1;36;10;33;0;;2
DERL2;FA10;le;1;1;23;6;17;0;;2
DERL2;FA10;le;2;1;12;7;10;0;;2
DERL2;CTRL;le;1;1;29;7;23;0;;2
DERL2;CTRL;le;2;1;34;8;32;0;;2