substance;concentration;usable;absorbance
C;0;1;0
C;10;1;0.033
C;20;1;0.056
C;30;1;0.080
C;40;1;0.110
C;50;1;0.125
C;60;1;0.144
R;0;1;0
R;10;1;0.039
R;20;1;0.055
R;30;1;0.061
R;40;1;0.079
R;50;1;0.097
R;60;1;0.104
H;0;1;0
H;10;0;0.091
H;20;1;0.043
H;30;1;0.076
H;40;1;0.084
H;50;1;0.113
H;60;1;0.169
TA+Fe;0;1;0
TA+Fe;10;0;-0.147
TA+Fe;20;0;-0.257
TA+Fe;30;0;-0.314
TA+Fe;40;0;-0.409
TA+Fe;50;0;-0.501
TA+Fe;60;0;-0.679
MA+Fe;0;1;0
MA+Fe;10;0;-0.199
MA+Fe;20;0;-0.557
MA+Fe;30;0;-0.881
MA+Fe;40;0;-1.43
MA+Fe;50;0;-1.82
MA+Fe;60;0;-1.81
TA;0;1;0
TA;10;0;0.024
TA;20;0;0.025
TA;30;0;0.004
TA;40;0;0.019
TA;50;0;0.014
TA;60;0;0.1
TA+Fe+delayed;0;1;0
TA+Fe+delayed;10;0;-0.9
TA+Fe+delayed;20;0;-1.06
TA+Fe+delayed;30;0;-1.1
TA+Fe+delayed;40;0;-0.69
TA+Fe+delayed;50;0;-0.74
TA+Fe+delayed;60;0;-0.95