row_id;combination;concs;rep;appl;day2;day7;biomass
Ia1;I;a;1;44;18;44;NA
Ia2;I;a;2;48;21;36;NA
Ia3;I;a;3;18;9;10;NA
Ia4;I;a;4;31;20;28;NA
Ia5;I;a;5;25;9;14;NA
Ib1;I;b;1;34;10;33;NA
Ib2;I;b;2;41;12;27;NA
Ib3;I;b;3;35;11;15;NA
Ib4;I;b;4;27;11;17;NA
Ib5;I;b;5;34;15;15;NA
Ic1;I;c;1;34;2;14;NA
Ic2;I;c;2;31;6;17;NA
Ic3;I;c;3;32;7;14;NA
Ic4;I;c;4;24;7;8;NA
Ic5;I;c;5;27;5;17;NA
Id1;I;d;1;41;0;21;NA
Id2;I;d;2;36;0;19;NA
Id3;I;d;3;39;0;15;NA
Id4;I;d;4;32;0;17;NA
Id5;I;d;5;35;3;22;NA
Ie1;I;e;1;18;0;1;NA
Ie2;I;e;2;31;0;1;NA
Ie3;I;e;3;43;2;12;NA
Ie4;I;e;4;61;0;4;NA
Ie5;I;e;5;39;1;5;NA
IIa1;II;a;1;47;17;31;NA
IIa2;II;a;2;55;23;35;NA
IIa3;II;a;3;59;24;34;NA
IIa4;II;a;4;38;8;21;NA
IIa5;II;a;5;40;17;33;NA
IIb1;II;b;1;36;5;21;NA
IIb2;II;b;2;22;3;20;NA
IIb3;II;b;3;35;14;22;NA
IIb4;II;b;4;39;5;24;NA
IIb5;II;b;5;45;6;28;NA
IIc1;II;c;1;47;7;31;NA
IIc2;II;c;2;26;2;16;NA
IIc3;II;c;3;38;5;23;NA
IIc4;II;c;4;46;4;25;NA
IIc5;II;c;5;28;8;21;NA
IId1;II;d;1;38;10;21;NA
IId2;II;d;2;19;6;19;NA
IId3;II;d;3;51;7;35;NA
IId4;II;d;4;33;6;25;NA
IId5;II;d;5;23;8;12;NA
IIe1;II;e;1;31;0;2;NA
IIe2;II;e;2;27;6;27;NA
IIe3;II;e;3;33;2;10;NA
IIe4;II;e;4;27;3;15;NA
IIe5;II;e;5;29;15;26;NA
IIIa1;III;a;1;26;6;19;NA
IIIa2;III;a;2;30;11;24;NA
IIIa3;III;a;3;33;11;22;NA
IIIa4;III;a;4;47;9;36;NA
IIIa5;III;a;5;31;16;22;NA
IIIb1;III;b;1;52;11;24;NA
IIIb2;III;b;2;17;8;15;NA
IIIb3;III;b;3;40;7;28;NA
IIIb4;III;b;4;32;9;20;NA
IIIb5;III;b;5;35;20;21;NA
IIIc1;III;c;1;22;6;16;NA
IIIc2;III;c;2;36;18;21;NA
IIIc3;III;c;3;21;6;11;NA
IIIc4;III;c;4;36;6;20;NA
IIIc5;III;c;5;28;3;15;NA
IIId1;III;d;1;47;7;28;NA
IIId2;III;d;2;52;23;24;NA
IIId3;III;d;3;28;19;17;NA
IIId4;III;d;4;48;NA;23;NA
IIId5;III;d;5;38;NA;14;NA
IIIe1;III;e;1;42;NA;2;NA
IIIe2;III;e;2;44;NA;9;NA
IIIe3;III;e;3;21;NA;1;NA
IIIe4;III;e;4;26;NA;0;NA
IIIe5;III;e;5;28;NA;0;NA
IVa1;IV;a;1;41;NA;33;NA
IVa2;IV;a;2;39;NA;19;NA
IVa3;IV;a;3;47;NA;28;NA
IVa4;IV;a;4;39;NA;19;NA
IVa5;IV;a;5;35;NA;15;NA
IVb1;IV;b;1;30;NA;14;NA
IVb2;IV;b;2;31;NA;17;NA
IVb3;IV;b;3;32;NA;17;NA
IVb4;IV;b;4;28;NA;15;NA
IVb5;IV;b;5;26;NA;14;NA
IVc1;IV;c;1;38;NA;16;NA
IVc2;IV;c;2;41;NA;16;NA
IVc3;IV;c;3;34;NA;11;NA
IVc4;IV;c;4;32;NA;12;NA
IVc5;IV;c;5;30;NA;14;NA
IVd1;IV;d;1;44;NA;26;NA
IVd2;IV;d;2;30;NA;20;NA
IVd3;IV;d;3;20;NA;11;NA
IVd4;IV;d;4;30;NA;16;NA
IVd5;IV;d;5;44;NA;14;NA
IVe1;IV;e;1;34;NA;8;NA
IVe2;IV;e;2;30;NA;5;NA
IVe3;IV;e;3;26;NA;2;NA
IVe4;IV;e;4;24;NA;2;NA
IVe5;IV;e;5;25;NA;6;NA
Va1;V;a;1;22;NA;18;NA
Va2;V;a;2;38;NA;28;NA
Va3;V;a;3;32;NA;21;NA
Va4;V;a;4;35;NA;24;NA
Va5;V;a;5;17;NA;15;NA
Vb1;V;b;1;23;NA;16;NA
Vb2;V;b;2;31;NA;24;NA
Vb3;V;b;3;28;NA;11;NA
Vb4;V;b;4;29;NA;13;NA
Vb5;V;b;5;35;NA;16;NA
Vc1;V;c;1;27;NA;21;NA
Vc2;V;c;2;25;NA;18;NA
Vc3;V;c;3;33;NA;17;NA
Vc4;V;c;4;25;NA;22;NA
Vc5;V;c;5;34;NA;19;NA
Vd1;V;d;1;32;NA;9;NA
Vd2;V;d;2;29;NA;12;NA
Vd3;V;d;3;45;NA;14;NA
Vd4;V;d;4;20;NA;6;NA
Vd5;V;d;5;18;NA;12;NA
Ve1;V;e;1;54;NA;4;NA
Ve2;V;e;2;33;NA;6;NA
Ve3;V;e;3;24;NA;3;NA
Ve4;V;e;4;34;NA;7;NA
Ve5;V;e;5;50;NA;6;NA
VIa1;VI;a;1;33;NA;25;NA
VIa2;VI;a;2;47;NA;30;NA
VIa3;VI;a;3;40;NA;17;NA
VIa4;VI;a;4;53;NA;24;NA
VIa5;VI;a;5;33;NA;16;NA
VIb1;VI;b;1;32;NA;22;NA
VIb2;VI;b;2;39;NA;17;NA
VIb3;VI;b;3;36;NA;14;NA
VIb4;VI;b;4;46;NA;28;NA
VIb5;VI;b;5;32;NA;25;NA
VIc1;VI;c;1;43;NA;18;NA
VIc2;VI;c;2;60;NA;19;NA
VIc3;VI;c;3;52;NA;11;NA
VIc4;VI;c;4;59;NA;24;NA
VIc5;VI;c;5;49;NA;18;NA
VId1;VI;d;1;40;NA;27;NA
VId2;VI;d;2;27;NA;16;NA
VId3;VI;d;3;24;NA;16;NA
VId4;VI;d;4;35;NA;15;NA
VId5;VI;d;5;31;NA;10;NA
VIe1;VI;e;1;40;NA;6;NA
VIe2;VI;e;2;50;NA;7;NA
VIe3;VI;e;3;38;NA;2;NA
VIe4;VI;e;4;48;NA;2;NA
VIe5;VI;e;5;69;NA;11;NA
VIIa1;VII;a;1;48;NA;35;NA
VIIa2;VII;a;2;43;NA;29;NA
VIIa3;VII;a;3;44;NA;30;NA
VIIa4;VII;a;4;66;NA;33;NA
VIIa5;VII;a;5;48;NA;28;NA
VIIb1;VII;b;1;37;NA;27;NA
VIIb2;VII;b;2;28;NA;8;NA
VIIb3;VII;b;3;38;NA;22;NA
VIIb4;VII;b;4;45;NA;30;NA
VIIb5;VII;b;5;32;NA;18;NA
VIIc1;VII;c;1;32;NA;14;NA
VIIc2;VII;c;2;35;NA;11;NA
VIIc3;VII;c;3;39;NA;13;NA
VIIc4;VII;c;4;29;NA;18;NA
VIIc5;VII;c;5;36;NA;14;NA
VIId1;VII;d;1;23;NA;13;NA
VIId2;VII;d;2;25;NA;14;NA
VIId3;VII;d;3;39;NA;11;NA
VIId4;VII;d;4;27;NA;16;NA
VIId5;VII;d;5;44;NA;13;NA
VIIe1;VII;e;1;16;NA;8;NA
VIIe2;VII;e;2;35;NA;2;NA
VIIe3;VII;e;3;17;NA;2;NA
VIIe4;VII;e;4;26;NA;9;NA
VIIe5;VII;e;5;29;NA;4;NA
VIIIa1;VIII;a;1;29;NA;24;NA
VIIIa2;VIII;a;2;20;NA;13;NA
VIIIa3;VIII;a;3;30;NA;22;NA
VIIIa4;VIII;a;4;30;NA;25;NA
VIIIa5;VIII;a;5;33;NA;26;NA
VIIIb1;VIII;b;1;30;NA;24;NA
VIIIb2;VIII;b;2;26;NA;19;NA
VIIIb3;VIII;b;3;16;NA;13;NA
VIIIb4;VIII;b;4;43;NA;29;NA
VIIIb5;VIII;b;5;41;NA;22;NA
VIIIc1;VIII;c;1;37;NA;23;NA
VIIIc2;VIII;c;2;25;NA;11;NA
VIIIc3;VIII;c;3;36;NA;18;NA
VIIIc4;VIII;c;4;48;NA;28;NA
VIIIc5;VIII;c;5;36;NA;18;NA
VIIId1;VIII;d;1;31;NA;25;NA
VIIId2;VIII;d;2;31;NA;9;NA
VIIId3;VIII;d;3;21;NA;11;NA
VIIId4;VIII;d;4;34;NA;23;NA
VIIId5;VIII;d;5;32;NA;21;NA
VIIIe1;VIII;e;1;17;NA;7;NA
VIIIe2;VIII;e;2;31;NA;5;NA
VIIIe3;VIII;e;3;30;NA;3;NA
VIIIe4;VIII;e;4;34;NA;12;NA
VIIIe5;VIII;e;5;31;NA;6;NA
CTRL1;CTRL;f;1;25;NA;21;NA
CTRL2;CTRL;f;2;21;NA;19;NA
CTRL3;CTRL;f;3;21;NA;18;NA
CTRL4;CTRL;f;4;19;NA;14;NA
CTRL5;CTRL;f;5;17;NA;14;NA